CATEGORIA,PRODUCTOS,PORCIONES,DECORACION,PRECIO,PERSONALIZABLE,OBSERVACIÓN
Tortas de Linea,Cupcakes Red velvet: con frosting de queso Philadelphia,Personal,Con relleno y roseton en la parte superior,8800,NO,
Tortas de Linea,Cupcakes Chocolate: con ganache de chocolate ,Personal,Con relleno y roseton en la parte superior,9000,NO,
Tortas de Linea,Cupcakes Zanahoria con nueces: con frosting de queso Philadelphia,Personal,Con relleno y roseton en la parte superior,8600,NO,
Tortas de Linea,Cupcakes Banano: con nueces y arequipe,Personal,Con relleno y roseton en la parte superior,8500,NO,
Tortas de Linea,Cupcakes Banano bebé,Personal,Con relleno y roseton en la parte superior,12500,NO,
Tortas de Linea,Tortas Personales  Red velvet: Con frosting de queso Philadelphia,Personal,Sin cobetura. Tiene frosting en el relleno y en la parte superior.,18500,NO,
Tortas de Linea,Tortas Personales  Chocolate: con ganache de chocolate,Personal,Sin cobetura. Tiene ganache en el  relleno y en la parte superior.,19500,NO,
Tortas de Linea,Tortas Personales Zanahoria con nueces: con frosting de queso Philadelphia,Personal,Sin cobetura. Tiene frosting en el relleno y en la parte superior.,18500,NO,
Tortas de Linea,"Tortas Personales  Banano: con nueces, rellena de arequipe",Personal,Sin cobetura. Tiene arequipe en el relleno y en la parte superior.,18500,NO,
Tortas de Linea,Tortas Personales Limón: con curd de limón y frosting de queso Philadelphia,Personal,Sin cobetura. Tiene curd de limon en relleno y frosting en la parte superior.,18500,NO,
Tortas de Linea,"Tortas Personales  Naranja: con curd de naranja, frutos morados y buttercream a base de merengue suizo",Personal,Sin cobetura. Tiene relleno de curd de naranja y frutos morados y butter cream en la parte superior.,18500,NO,
Tortas de Linea,Tortas Mini Red velvet con frosting de queso Philadelphia,Personal,Tiene frosting en la parte superior.,12500,NO,Muestras para Eventos
Tortas de Linea,Tortas Mini Chocolate: con ganache de chocolate,Personal,Tiene ganache  en la parte superior.,13500,NO,Muestras para Eventos
Tortas de Linea,Tortas Mini Zanahoria con nueces: con frosting de queso Philadelphia,Personal,Tiene frosting en la parte superior.,13000,NO,Muestras para Eventos
Tortas de Linea,"Tortas Mini Banano: con nueces, rellena de arequipe",Personal,Tiene arequipe en la parte superior.,12000,NO,Muestras para Eventos
Tortas de Linea,Tortas Mini Limón: con curd de limón y frosting de queso Philadelphia,Personal,Tiene curd de limon y frosting en la parte superior.,13000,NO,Muestras para Eventos
Tortas de Linea,"Tortas Mini Naranja: con curd de naranja, frutos morados y buttercream a base de merengue suizo",Personal,"Tiene curd de naranja, frutos morados y butter cream en la parte superior.",13000,NO,Muestras para Eventos
Tortas de Linea,Torta 1/8 de Libra  Red velvet: Con frosting de queso Philadelphia,4-6,Sin cobertura.. Tiene frosting en el relleno y en la parte superior.,57500,NO,
Tortas de Linea,Torta 1/8 de Libra  Chocolate: con ganache de chocolate,4-6,Sin cobertura. Tiene ganache en el  relleno y en la parte superior.,58500,NO,
Tortas de Linea,Torta 1/8 de Libra  Zanahoria con nueces: con frosting de queso Philadelphia,4-6,Sin cobertura.. Tiene frosting en el relleno y en la parte superior.,56500,NO,
Tortas de Linea,"Torta 1/8 de Libra  Banano: con nueces, rellena de arequipe",4-6,Sin cobertura.. Tiene arequipe en el relleno y en la parte superior.,55500,NO,
Tortas de Linea,Torta 1/8 de Libra  Limón: con curd de limón y frosting de queso Philadelphia,4-6,Con cobertura. rustica. Tiene curd de limon en relleno y frosting en la parte exterior.,63500,NO,
Tortas de Linea,"Torta 1/8 de Libra  Naranja: con curd de naranja, frutos morados y buttercream a base de merengue suizo",4-6,Con cobertura. rustica. Tiene relleno de curd de naranja  y frutos morados. y butter cream en la parte superior.,63500,NO,
Tortas de Linea,Torta ¼ de Libra Red velvet: Con frosting de queso Philadelphia,10-12,Con cobertura. rustica.  Tiene frosting en el relleno y en la parte exterior.,80500,NO,
Tortas de Linea,Torta ¼ de Libra  Chocolate: con ganache de chocolate,10-12,Sin cobertura.. Tiene ganache en el  relleno y en la parte superior.,82500,NO,
Tortas de Linea,Torta ¼ de Libra  Zanahoria con nueces: con frosting de queso Philadelphia,10-12,Con cobertura. rustica.  Tiene frosting en el relleno y en la parte exterior.,80500,NO,
Tortas de Linea,"Torta ¼ de Libra  Banano: con nueces, rellena de arequipe",10-12,Sin cobertura.. Tiene arequipe en el relleno y en la parte superior.,75500,NO,
Tortas de Linea,Torta ¼ de Libra Banano con nueces y arequipe y frosting de queso Philadelphia,10-12,Con  cobertura.rustica.  Tiene arequipe en el relleno y frosting en la parte exterior.,80500,NO,
Tortas de Linea,Torta ¼ de Libra  Arequipe: Con cremoso de arequipe y frosting de arequipe ,10-12,Con cobertura. rustica. Tiene cremoso de arequipe y frosting de arequipe en la parte exterior.,85500,NO,
Tortas de Linea,Torta ¼ de Libra  Limón: con curd de limón y frosting de queso Philadelphia,15,Con cobertura. rustica. Tiene curd de limon en relleno y frosting en la parte exterior.,92000,NO,
Tortas de Linea,"Torta ¼ de Libra  Naranja: con curd de naranja, frutos morados y buttercream a base de merengue suizo",15,Con cobertura. rustica. Tiene relleno de curd de naranja  y frutos morados. y butter cream en la parte superior.,98500,NO,
Tortas de Linea,"Torta ¼ de Libra  Snickers con ganache de chocolate, maní, caramelo salado y trozos de chocolatina snickers",15,"Sin cobertura.Tiene ganache en el  relleno y caramelo salado, maní y trozos de chocolatina Snickers en la parte superior.",95500,NO,
Tortas de Linea,Torta ½ de Libra Red velvet Con frosting de queso Philadelphia,20,Con cobertura. rustica.  Tiene frosting en el relleno y en la parte exterior.,122500,NO,
Tortas de Linea,Torta ½ de Libra Chocolate con ganache de chocolate,20,Sin cobertura.. Tiene ganache en el  relleno y en la parte superior.,125500,NO,
Tortas de Linea,Torta ½ de Libra Zanahoria con nueces con frosting de queso Philadelphia,20,Con cobertura. rustica.  Tiene frosting en el relleno y en la parte exterior.,120500,NO,
Tortas de Linea,Torta ½ de Libra Banano con nueces rellena de arequipe,20,Sin cobertura.. Tiene arequipe en el relleno y en la parte superior.,110500,NO,
Tortas de Linea,Torta ½ de Libra Banano con nueces y arequipe y frosting de queso Philadelphia,20,Con  cobertura.rustica.  Tiene arequipe en el relleno y frosting en la parte exterior.,122500,NO,
Tortas de Linea,Torta ½ de Libra Arequipe Con cremoso de arequipe y frosting de arequipe ,20,Con cobertura. rustica. Tiene cremoso de arequipe y frosting de arequipe en la parte exterior.,120000,NO,
Tortas de Linea,Torta ½ de Libra Limón con curd de limón y frosting de queso Philadelphia,25,Con cobertura. rustica. Tiene curd de limon en relleno y frosting en la parte exterior.,128500,NO,
Tortas de Linea,"Torta ½ de Libra Naranja con curd de naranja, frutos morados y buttercream a base de merengue suizo",25,Con cobertura. rustica. Tiene relleno de curd de naranja  y frutos morados. y butter cream en la parte superior.,140000,NO,
Tortas de Linea,Torta 1 Libra Red velvet Con frosting de queso Philadelphia,30-35,Con cobertura. rustica.  Tiene frosting en el relleno y en la parte exterior.,188000,NO,
Tortas de Linea,Torta 1 Libra Chocolate con ganache de chocolate,30-35,Sin cobertura.. Tiene ganache en el  relleno y en la parte superior.,188000,NO,
Tortas de Linea,Torta 1 Libra Zanahoria con nueces con frosting de queso Philadelphia,30-35,Con cobertura. rustica.  Tiene frosting en el relleno y en la parte exterior.,188000,NO,
Tortas de Linea,"Torta 1 Libra Banano con nueces con curd de naranja, frutos morados y buttercream a base de merengue suizo",30-35,Sin cobertura.. Tiene arequipe en el relleno y en la parte superior.,175000,NO,
Tortas de Linea,Torta 1 Libra Banano con nueces y arequipe y frosting de queso Philadelphia,30-35,Con  cobertura.rustica.  Tiene arequipe en el relleno y frosting en la parte exterior.,205000,NO,
Tortas de Linea,Torta 1 Libra Limón con curd de limón y frosting de queso Philadelphia,40-45,Con cobertura. rustica. Tiene curd de limon en relleno y frosting en la parte exterior.,193500,NO,
Tortas de Linea,"Torta 1 Libra Naranja con curd de naranja, frutos morados y buttercream a base de merengue suizo",40-45,Con cobertura. rustica. Tiene relleno de curd de naranja  y frutos morados. y butter cream en la parte superior.,198000,NO,
Cheesecakes,Cheesebrownie 1/2 libra ,12,Base de brownie de milo con top de cheesecake,95000,NO,
Cheesecakes,"Cheesecake Fresa, base de galleta de vainilla.",Personal,Triangular,14000,NO,
Cheesecakes,"Cheesecake 1/8 de libra Fresa, base de galleta de vainilla.",4-6,,45000,NO,
Cheesecakes,"Cheesecake 1/4 de libra Fresa, base de galleta de vainilla.",8-10,,75000,NO,
Cheesecakes,"Cheesecake 1/2 libra Fresa, base de galleta de vainilla.",10-14,,90000,NO,
Cheesecakes,Cheesecake Vasco 1/2 libra ,10-14,,105000,NO,
Cheesecakes,Cheesecake Vasco ,8,,70000,NO,
Cheesecakes,Cheesecake NY Frutos rojos o caramelo salado o chocolate. Base de oreo,Personal,Triangular,16000,NO,
Cheesecakes,Cheesecake NY 1/2 de libra Frutos rojos o caramelo salado o chocolate. Base de oreo,10-14,,105000,NO,
Cheesecakes,Cheesecake keto ,Personal,,18500,NO,
Cheesecakes,Cheesecake keto ,10-12,,165000,NO,
Volcanes,Volcán de chocolate 1/8 de libra Chocolate,6,,73000,NO,
Volcanes,Volcán  de chocolate 1/4 de libra Chocolate,10-12,,95000,NO,
Volcanes,Volcán de chocolate  1/2 libra Chocolate,20,,150000,NO,
Volcanes,Volcan de chocolate ,30-35,,220000,NO,
Volcanes,Volcán de Red velvet 1/8 de libra Red Velvet,6,,68500,NO,
